12080,-500,100 2

8520,170,100 0

4960,840,100 0

1400,1510,100 0

-2160,2180,100 0

-5730,2860,100 3

-6930,3180,100 0

-8130,3500,100 0

-9330,3820,100 0

-10530,4140,100 0

-11750,4440,100 1

-7350,3790,100 0

-2950,3140,100 0

1450,2490,100 0

5850,1840,100 0

10260,1210,100 3

10670,1150,100 0

11080,1090,100 0

11490,1030,100 0

11900,970,100 0

12290,890,100 1

7710,1300,100 0

3130,1710,100 0

-1450,2120,100 0

-6030,2530,100 0

-10630,2920,100 3

-11180,2970,100 0

-11730,3020,100 0

-12280,3070,100 0

-12830,3120,100 0

-13380,3160,100 1

-8710,1790,100 0

-4040,420,100 0

630,-950,100 0

5300,-2320,100 0

9960,-3700,100 3

10510,-3900,100 0

11060,-4100,100 0

11610,-4300,100 0

12160,-4500,100 0

12710,-4680,100 1

7710,-4800,100 0

2710,-4920,100 0

-2290,-5040,100 0

-7290,-5160,100 0

-12310,-5300,100 3

