12160,2200,100 2
9728,1782,100 0
7296,1364,100 0
4864,946,100 0
2432,528,100 0
0,110,100 0
-1044,-166,100 0
-2088,-442,100 0
-3132,-718,100 0
-4176,-994,100 0
-5220,-1270,100 3
-6216,-2056,100 0
-7212,-2842,100 0
-8208,-3628,100 0
-9204,-4414,100 0
-10200,-5200,100 1
-8160,-4116,100 0
-6120,-3032,100 0
-4080,-1948,100 0
-2040,-864,100 0
0,220,100 0
1778,960,100 0
3556,1700,100 0
5334,2440,100 0
7112,3180,100 0
8890,3920,100 3
9316,4236,100 0
9742,4552,100 0
10168,4868,100 0
10594,5184,100 0
11020,5500,100 1
8816,4374,100 0
6612,3248,100 0
4408,2122,100 0
2204,996,100 0
0,-131,100 0
-1000,-565,100 0
-2000,-999,100 0
-3000,-1433,100 0
-4000,-1867,100 0
-5000,-2300,100 3
-6204,-2560,100 0
-7408,-2820,100 0
-8612,-3080,100 0
-9816,-3340,100 0
-11020,-3600,100 1
-9876,-3180,100 0
-8732,-2760,100 0
-7588,-2340,100 0
-6444,-1920,100 0
-5300,-1500,100 1
-2682,-536,100 0
-64,428,100 0
0,679,100 0
2554,1392,100 0
5172,2356,100 0
7790,3320,100 3
