12180,630,100 2

8580,200,100 0

4980,-230,100 0

1380,-660,100 0

-2220,-1090,100 0

-5820,-1540,100 3

-7180,-1730,100 0

-8540,-1920,100 0

-9900,-2110,100 0

-11260,-2300,100 0

-12620,-2510,100 1

-8160,-2380,100 0

-3700,-2250,100 0

760,-2120,100 0

5220,-1990,100 0

9680,-1840,100 3

10160,-1800,100 0

10640,-1760,100 0

11120,-1720,100 0

11600,-1680,100 0

12080,-1650,100 1

9660,-1620,100 0

7240,-1590,100 0

4820,-1560,100 0

2400,-1530,100 0

0,-1510,100 4

60,-1550,100 0

120,-1590,100 0

180,-1630,100 0

240,-1670,100 0

300,-1730,100 3

