12000,2610,100 2

9600,2256,100 0

7200,1902,100 0

4800,1548,100 0

2400,1194,100 0

0,840,100 0

-600,472,100 0

-1200,104,100 0

-1800,-264,100 0

-2400,-632,100 0

-3000,-1000,100 3

-4000,-1200,100 0

-5000,-1400,100 0

-6000,-1600,100 0

-7000,-1800,100 0

-8000,-2000,100 1

-6400,-1500,100 0

-4800,-1000,100 0

-3200,-500,100 0

-1600,0,100 0

0,500,100 0

1596,1012,100 0

3192,1524,100 0

4788,2036,100 0

6384,2548,100 0

7980,3059,100 1

6384,2577,100 0

4788,2095,100 0

3192,1613,100 0

1596,1131,100 0

0,647,100 0

-706,-918,100 0

-2412,-1189,100 0

-4118,-1460,100 0

-6824,-2031,100 0

-8000,-2300,100 6
